"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andhra Pradesh","Chittoor","2021-07-12","2021","07","0.758723728","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-13","2021","07","NA","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-14","2021","07","1.203370761","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-15","2021","07","24.73433065","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-16","2021","07","1.582814393","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-17","2021","07","21.86730108","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-18","2021","07","13.41185125","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-19","2021","07","10.41119155","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-20","2021","07","10.41407012","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-21","2021","07","2.797827601","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-22","2021","07","1.346993708","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-23","2021","07","0.600504011","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-24","2021","07","NA","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-25","2021","07","0.078911937","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-26","2021","07","13.56313421","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-27","2021","07","0.947807803","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-28","2021","07","0.566951224","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-29","2021","07","0.002880583","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-30","2021","07","0.005263351","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2021-07-31","2021","07","NA","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-01","2021","07","13.31719454","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-02","2021","07","12.10889931","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-03","2021","07","11.88324429","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-04","2021","07","3.200797907","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-05","2021","07","8.211026028","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-06","2021","07","0.533374129","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-07","2021","07","4.712670382","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-08","2021","07","33.33528348","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-09","2021","07","0.792943689","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-10","2021","07","4.37149609","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-11","2021","07","14.88547012","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-12","2021","07","29.7539792","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-13","2021","07","23.80345847","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-14","2021","07","12.89017137","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-15","2021","07","8.24642553","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-16","2021","07","5.718665375","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-17","2021","07","1.742888511","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-18","2021","07","0.247959249","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-19","2021","07","4.622962827","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-20","2021","07","8.59500839","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-21","2021","07","20.16195023","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-22","2021","07","25.26677147","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-23","2021","07","8.330915316","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-24","2021","07","10.98211465","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-25","2021","07","2.201994563","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-26","2021","07","6.716759915","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-27","2021","07","0.968716253","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-28","2021","07","1.450462787","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-29","2021","07","1.779667568","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-30","2021","07","0.40100249","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2021-07-31","2021","07","1.501356608","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-01","2021","07","10.03880118","IMD GRID MODEL"
