"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andhra Pradesh","East Godavari","2022-07-06","2022","07","23.12594996","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-07","2022","07","5.285721367","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-08","2022","07","12.46832257","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-09","2022","07","19.74500369","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-10","2022","07","10.97380498","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-11","2022","07","13.51872381","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-12","2022","07","27.67941965","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-13","2022","07","4.778261988","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-14","2022","07","6.804868045","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-15","2022","07","3.341587074","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-16","2022","07","0.507446893","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-17","2022","07","14.91411114","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-18","2022","07","18.02513463","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-19","2022","07","3.071426503","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-20","2022","07","4.691518537","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-21","2022","07","3.777995229","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-22","2022","07","3.508736595","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-23","2022","07","8.431296302","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-24","2022","07","2.193581524","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-25","2022","07","12.63973694","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-26","2022","07","3.049607955","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-27","2022","07","16.34393184","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-28","2022","07","1.057050551","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2022-07-29","2022","07","0.15071146","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-01","2022","07","3.030893184","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-02","2022","07","1.170364104","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-03","2022","07","7.279135631","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-04","2022","07","19.73876813","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-05","2022","07","1.144256027","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-06","2022","07","22.70066947","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-07","2022","07","0.775706863","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-08","2022","07","7.827933291","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-09","2022","07","15.51878003","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-10","2022","07","6.269692589","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-11","2022","07","4.389678331","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-12","2022","07","13.99427116","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-13","2022","07","6.914895291","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-14","2022","07","0.36414026","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-15","2022","07","1.804967026","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-16","2022","07","0.097214669","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-17","2022","07","1.157326886","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-18","2022","07","26.06826096","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-19","2022","07","1.65845406","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-20","2022","07","0.734533714","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-21","2022","07","1.446454846","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-22","2022","07","38.10767304","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-23","2022","07","43.69418228","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-24","2022","07","0.647713697","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-25","2022","07","1.622778179","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-26","2022","07","5.308258133","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-27","2022","07","3.625777661","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-28","2022","07","0.000677779","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2022-07-29","2022","07","NA","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-01","2022","07","5.900000511","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-02","2022","07","1.951718478","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-03","2022","07","18.92384239","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-04","2022","07","17.02639037","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-05","2022","07","9.266608951","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-06","2022","07","21.88550166","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-07","2022","07","1.555611347","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-08","2022","07","24.55203168","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-09","2022","07","18.40522423","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-10","2022","07","25.52408904","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-11","2022","07","10.63317689","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-12","2022","07","25.54729458","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-13","2022","07","4.297020583","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-14","2022","07","1.03686452","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-15","2022","07","2.26962343","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-16","2022","07","0.046480521","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-17","2022","07","3.61359524","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-18","2022","07","32.63208138","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-19","2022","07","1.442389468","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-20","2022","07","2.202567746","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-21","2022","07","2.395080982","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-22","2022","07","7.329277543","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-23","2022","07","24.96741645","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-24","2022","07","2.341580316","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-25","2022","07","4.436220149","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-26","2022","07","4.116820715","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-27","2022","07","6.830915121","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-28","2022","07","0.197614539","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2022-07-29","2022","07","NA","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-01","2022","07","1.648154813","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-02","2022","07","3.359516666","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-03","2022","07","0.293678212","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-04","2022","07","0.056494185","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-05","2022","07","0.061457649","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-06","2022","07","18.49953821","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-07","2022","07","4.205011443","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-08","2022","07","5.852371354","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-09","2022","07","3.233490526","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-10","2022","07","12.44128019","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-11","2022","07","0.054317861","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2022-07-12","2022","07","1.380491718","IMD GRID MODEL"
